EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
0.38804,-5.39243,-11.60537,-11.77610,1.60524
1.62565,-11.91616,-21.55285,-32.11824,1.75494
15.24255,-4.18443,-7.29098,-21.74359,9.61153
31.43154,6.64003,0.49412,-11.41286,24.23127
15.19456,-0.59000,-9.93440,-23.82051,12.19636
-2.10973,-9.48103,-17.58392,-27.70793,-3.13995
12.66406,-6.41062,-11.60323,-13.45971,11.51160
19.32860,-8.27060,-0.77873,-11.93907,19.44569
16.24193,-3.12772,-0.98221,-18.98334,16.88662
21.13280,7.53112,-2.01784,-8.76159,18.89149
14.88866,-8.58375,-11.63347,-2.19875,5.74104
3.91985,-32.16322,-26.44596,-15.20902,-10.88697
-3.17550,-37.13655,-25.60917,-34.48276,-14.31889
-13.20349,-33.27997,-28.08082,-45.43165,-16.91851
-22.69172,-33.53111,-34.89563,-43.97224,-24.65950
-27.58336,-38.06177,-35.18573,-36.75542,-30.45229
-21.50942,-33.74326,-28.98010,-30.20578,-23.56202
-15.23131,-24.43338,-22.15254,-31.18308,-16.51956
-23.58921,-23.38502,-34.69812,-39.41815,-26.85855
-34.44998,-28.56458,-43.28664,-44.30997,-39.31884
-34.24879,-33.38933,-34.58186,-36.87957,-33.44865
-26.53202,-30.88794,-32.04394,-25.99029,-19.10078
-22.64677,-22.94659,-30.42246,-29.34657,-20.18905
-21.60779,-17.26717,-26.62738,-30.92588,-26.82527
-21.09746,-18.85727,-21.04626,-21.72541,-23.92472
-23.53728,-22.58077,-19.47778,-19.68023,-23.10477
-22.91200,-19.06873,-25.97846,-13.62320,-24.38036
-25.67289,-20.79314,-24.74168,-6.50282,-26.75792
-27.08512,-24.29216,-17.46474,-12.44949,-24.32259
-16.67096,-15.55415,-5.55977,-15.31507,-12.26716
-13.00952,-10.04558,-1.15927,-13.12294,-10.82866
-13.03225,-6.87813,-6.94526,-5.32185,-11.35144
-5.63563,-6.58742,-0.74840,5.37467,-3.11243
-5.07833,-20.14591,-4.59709,0.00667,-6.04175
-12.01663,-22.60761,-15.00663,-10.82118,-15.84117
-17.72132,-10.70652,-11.92396,-11.31903,-20.27943
-23.36348,-12.75054,-23.01299,-11.89476,-24.89919
-34.41796,-24.54161,-34.90507,-20.67795,-32.93405
-36.91244,-24.49111,-25.98189,-23.67625,-30.10317
-20.83680,-15.88059,-14.92008,-15.64708,-14.44063
-15.47087,-13.08747,-17.13104,-16.59928,-12.97520
-29.10598,-12.71776,-25.38765,-24.48556,-23.50112
-37.86214,-18.72989,-17.96175,-26.45518,-26.99784
-26.94348,-29.05059,-13.06713,-24.06934,-24.04198
-2.02886,-28.06708,-20.77461,-13.66689,-15.42441
5.16946,-22.91120,-21.62294,-8.23649,-11.41213
-3.96687,-16.76987,-23.34052,-17.70442,-9.16179
5.51941,-12.36203,-20.31983,-21.26049,6.11799
24.83314,-15.87211,-15.78017,-13.54393,18.90973
25.49044,-13.32767,-19.46008,-5.43982,14.64030
7.25213,-7.82707,-19.74696,-5.46329,-0.59139
-5.58226,-9.77738,-21.35070,-12.90404,-12.28145
-1.65885,-9.57451,-16.72900,-12.30506,-9.75905
0.92183,-9.65340,-9.92399,-3.55185,-2.22591
-3.19862,-13.31071,-13.11045,-3.80341,-0.80175
-5.38206,-11.51985,-12.73663,-12.85925,-4.95572
-2.47894,-7.09431,-10.33465,-7.01944,-4.39239
3.72749,-7.70872,-2.10251,8.21094,3.83862
5.93030,-9.69701,3.14246,6.35177,2.49684
2.32701,-5.27948,-3.87066,1.46604,-8.51957
-2.60376,-2.65531,-1.59247,2.36656,-10.78051
2.39864,-7.22134,-0.22431,2.31499,0.85822
11.26355,-6.80345,-1.02688,7.94436,10.57559
