EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
-11.12991,-20.28967,-7.99618,-4.00711,-13.73521
4.86188,-6.80354,9.37738,6.08436,1.15584
6.63496,-10.31585,-1.06590,-3.12253,-4.45773
11.03960,-16.73740,-8.53747,1.11197,-2.81384
-9.40947,-42.45655,-27.28869,-17.91873,-20.53076
-5.63886,-36.10143,-21.97865,-15.05588,-12.74606
-0.08981,-25.80111,-10.88465,-2.63787,-3.94901
-18.69483,-38.48905,-21.24790,-19.95836,-25.51886
-6.68409,-28.20065,-16.82637,-18.21818,-15.47566
1.27945,-24.48417,-17.98149,-16.47190,-2.80246
12.31249,-10.52676,-9.32912,-11.05404,9.74358
20.93873,1.72469,-6.63790,-16.78917,16.04808
14.41523,-0.08273,-20.21472,-28.99953,10.62152
30.47013,17.43684,-8.89881,-6.57347,27.22292
25.14311,9.01956,-16.85918,-16.55806,17.43742
20.27374,8.67600,-22.65447,-24.28038,11.78865
28.45618,20.30114,-10.33428,-4.32846,21.59183
20.34811,3.13340,-17.33829,-13.64130,7.32365
28.48612,4.72587,-12.96608,-12.14615,14.49663
23.32031,4.16453,-13.77729,-11.49984,14.97736
13.78645,0.85301,-15.47002,-18.19171,6.29362
11.40734,1.10475,-13.56555,-20.26912,4.79347
4.36873,-5.45602,-20.48437,-28.00203,-1.64492
23.79848,16.45651,-2.90369,-9.21090,16.46225
15.22872,11.43080,-11.13781,-14.66601,10.17811
8.42140,-5.63314,-28.61952,-25.50976,4.45505
34.13893,4.87711,-12.78325,-0.60845,30.24392
22.31444,1.26817,-10.03299,-0.82884,21.90088
12.99599,11.25897,2.11494,0.12841,17.14840
11.27733,15.96952,11.31201,1.18454,18.82762
9.64726,15.49314,9.52270,-0.19458,17.36841
15.00233,24.11956,11.11211,8.96413,24.21539
-4.68906,7.39143,-10.00562,-9.61825,10.37008
-1.04940,8.58731,-13.73134,-8.62410,16.63761
5.13006,8.81943,-11.56994,-0.94769,17.44420
-0.82183,0.11897,-11.41607,-5.55763,5.54802
16.32036,10.18711,6.09506,9.47125,20.92659
18.00005,2.40930,0.49028,8.88009,18.87646
25.67167,4.94250,1.11240,17.58958,24.05884
29.29625,5.36228,1.76201,18.58644,27.31603
17.99712,-1.87507,-8.60672,-2.69726,11.45856
18.76893,5.45738,1.39419,-1.47016,9.84051
-1.46390,-11.64858,-0.80358,-13.49222,-9.47673
-0.23308,-9.81422,4.31246,-12.75068,-7.16080
12.71794,-2.00493,3.95005,-0.13762,9.36972
7.11704,-11.42228,-12.63863,-1.27155,4.06749
21.40164,1.91723,-1.86069,15.69671,15.80066
9.33860,-9.58119,-9.95944,1.80953,7.23635
2.83277,-12.43854,-15.51500,-10.23384,2.35786
22.55878,4.89094,1.27234,5.83519,12.78420
19.94876,-0.95193,1.40883,2.11115,3.12519
20.44510,8.91987,4.19435,4.53820,8.65046
-1.26837,1.67878,-16.03634,-12.85495,-7.97758
-17.45044,-7.17655,-27.69306,-23.30250,-23.03224
-3.00457,7.78662,-4.95665,-2.16003,-5.01081
-6.08713,4.05724,-3.84719,-6.42336,-9.04902
-0.94354,1.61828,-4.28276,-4.48920,-8.79444
2.27592,-9.82163,-1.29902,0.54695,-4.21465
9.07272,-6.05916,7.43007,7.87417,7.98706
17.04051,7.40875,8.24733,16.42956,17.39993
-2.92018,-13.56003,-19.28431,-6.66718,-7.22713
1.81516,-11.78736,-17.93057,-8.07985,-5.11923
6.11972,-9.05310,-10.88585,-5.94149,2.30337
4.17537,-13.24832,-5.10693,-7.64348,2.33691
12.25262,-5.20467,7.63375,1.87735,6.31184
-4.03398,-17.94499,-12.55204,-18.26159,-16.39689
8.47523,-5.72513,-5.83544,-8.51342,-3.73659
15.88006,0.50732,6.06178,7.38222,6.26664
-7.77399,-17.46351,-16.24552,-12.86395,-19.54153
1.87874,-11.98721,-17.52067,-9.21155,-10.64458
11.03449,-14.28734,-15.55009,-2.22908,-0.38340
7.39731,-12.16103,-18.00920,-4.65592,-4.70600
-11.47445,-16.59264,-28.37611,-25.47064,-24.46017
-24.07875,-25.55300,-34.88040,-40.71468,-38.31289
-8.34052,-13.63036,-18.89993,-20.68815,-20.34589
-14.03558,-19.50606,-16.69184,-21.65764,-19.18308
-5.62396,-10.69885,-4.43359,-11.49383,-4.54911
-1.49727,-8.50804,-5.70783,-1.73804,0.99697
-24.91069,-29.27078,-25.25727,-21.89319,-24.16640
-16.08618,-14.91345,-5.91675,-12.85051,-12.96334
-17.51663,-11.70604,-4.55205,-11.32444,-14.27780
-22.68283,-12.11950,-11.96107,-11.05009,-25.52800
-20.70638,-5.92472,-4.91932,-7.26698,-22.16961
-36.43826,-17.41019,-13.70577,-27.00904,-31.43173
-26.08785,-12.16871,-7.55815,-15.60669,-20.77080
-24.79349,-19.86440,-10.00209,-9.37180,-21.54770
-30.20620,-24.17839,-14.61523,-17.24642,-26.77185
-16.83090,-10.57628,-1.50484,-6.37709,-14.09534
-8.54573,-7.45363,6.64957,3.67572,-8.36501
